Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Country_from,Country_to,Year
Mesut Özil,Attacking Midfield,21,Werder Bremen,1.Bundesliga,Real Madrid,LaLiga,2010-2011,27000000.0,18000000,Germany,Spain,2010
Toni Kroos,Central Midfield,24,Bayern Munich ,1.Bundesliga,Real Madrid,LaLiga,2014-2015,42000000.0,25000000,Germany,Spain,2014
Theo Hernández,Left-Back,19,Atlético Madrid,LaLiga,Real Madrid,LaLiga,2017-2018,15000000.0,24000000,Spain,Spain,2017
Asier Illarramendi,Defensive Midfield,23,Real Sociedad,LaLiga,Real Madrid,LaLiga,2013-2014,12000000.0,32000000,Spain,Spain,2013
Álvaro Odriozola,Right-Back,22,Real Sociedad,LaLiga,Real Madrid,LaLiga,2018-2019,25000000.0,30000000,Spain,Spain,2018
Dani Ceballos,Central Midfield,20,Real Betis,LaLiga,Real Madrid,LaLiga,2017-2018,10000000.0,16500000,Spain,Spain,2017
Sergio Ramos,Centre-Back,19,Sevilla FC,LaLiga,Real Madrid,LaLiga,2005-2006,27000000.0,27000000,Spain,Spain,2005
Júlio Baptista,Attacking Midfield,23,Sevilla FC,LaLiga,Real Madrid,LaLiga,2005-2006,25000000.0,20000000,Spain,Spain,2005
Robinho,Left Winger,21,Santos FC,Série A,Real Madrid,LaLiga,2005-2006,25000000.0,24000000,Brazil,Spain,2005
Cicinho,Right-Back,25,São Paulo,Série A,Real Madrid,LaLiga,2005-2006,5000000.0,4000000,Brazil,Spain,2005
Casemiro,Defensive Midfield,21,São Paulo,Série A,Real Madrid,LaLiga,2013-2014,6000000.0,6000000,Brazil,Spain,2013
Sami Khedira,Central Midfield,23,VfB Stuttgart,1.Bundesliga,Real Madrid,LaLiga,2010-2011,18000000.0,14000000,Germany,Spain,2010
Lassana Diarra,Defensive Midfield,23,Portsmouth,Premier League,Real Madrid,LaLiga,2008-2009,8500000.0,20000000,England,Spain,2008
Vinícius Júnior,Left Winger,18,Flamengo,Série A,Real Madrid,LaLiga,2018-2019,35000000.0,45000000,Brazil,Spain,2018
Lucas Silva,Central Midfield,21,Cruzeiro,Série A,Real Madrid,LaLiga,2014-2015,12000000.0,13000000,Brazil,Spain,2014
Carlos Diogo,Right-Back,21,River Plate,Torneo Final,Real Madrid,LaLiga,2005-2006,2500000.0,5000000,Argentina,Spain,2005
Gonzalo Higuaín,Centre-Forward,19,River Plate,Torneo Final,Real Madrid,LaLiga,2006-2007,12000000.0,12000000,Argentina,Spain,2006
Pablo García,Defensive Midfield,28,CA Osasuna,LaLiga,Real Madrid,LaLiga,2005-2006,4250000.0,4000000,Spain,Spain,2005
Javi García,Defensive Midfield,21,CA Osasuna,LaLiga,Real Madrid,LaLiga,2008-2009,5000000.0,4000000,Spain,Spain,2008
Marcelo,Left-Back,18,Fluminense,Série A,Real Madrid,LaLiga,2006-2007,6500000.0,6500000,Brazil,Spain,2006
Émerson,Defensive Midfield,30,Juventus,Serie B,Real Madrid,LaLiga,2006-2007,26000000.0,16000000,Italy,Spain,2006
Fabio Cannavaro,Centre-Back,32,Juventus,Serie B,Real Madrid,LaLiga,2006-2007,14000000.0,7000000,Italy,Spain,2006
Fernando Gago,Defensive Midfield,20,Boca Juniors,Torneo Final,Real Madrid,LaLiga,2006-2007,12000000.0,20500000,Argentina,Spain,2006
Rubén de la Red,Central Midfield,23,Getafe CF,LaLiga,Real Madrid,LaLiga,2008-2009,6000000.0,4700000,Spain,Spain,2008
Esteban Granero,Central Midfield,22,Getafe CF,LaLiga,Real Madrid,LaLiga,2009-2010,5000000.0,4000000,Spain,Spain,2009
Pedro León,Right Winger,23,Getafe CF,LaLiga,Real Madrid,LaLiga,2010-2011,8000000.0,10000000,Spain,Spain,2010
Álvaro Negredo,Centre-Forward,23,UD Almería,LaLiga,Real Madrid,LaLiga,2009-2010,12000000.0,5000000,Spain,Spain,2009
Raphaël Varane,Centre-Back,18,Lens,Ligue 2,Real Madrid,LaLiga,2011-2012,4000000.0,10000000,France,Spain,2011
Keylor Navas,Goalkeeper,27,Levante UD,LaLiga,Real Madrid,LaLiga,2014-2015,10000000.0,10000000,Spain,Spain,2014
Andriy Lunin,Goalkeeper,19,Zorya Lugansk,Premier Liga,Real Madrid,LaLiga,2018-2019,3500000.0,8500000,Ukraine,Spain,2018
Frédéric Déhu,Centre-Back,27,FC Barcelona,LaLiga,Paris SG,Ligue 1,2000-2001,,6000000,Spain,France,2000
Maxwell,Left-Back,30,FC Barcelona,LaLiga,Paris SG,Ligue 1,2011-2012,7000000.0,3500000,Spain,France,2011
